time,S,I,R
9.25,0.8652975752458343,0.12019473812713632,0.014507686627030449
9.3,0.8577173266112571,0.12689269050701257,0.015389982881731408
9.35,0.849788892457885,0.13388991930047292,0.01632118824164313
9.4,0.8415050930028455,0.1411914481202982,0.017303458876857383
9.450000000000001,0.8328596050549426,0.14880141121492776,0.018338983730130654
9.5,0.8238470796487767,0.15672294258191882,0.019429977769305586
9.55,0.8144632617712423,0.16495806378655392,0.02057867444220486
9.600000000000001,0.804705110667492,0.1735075720024683,0.021787317330040842
9.65,0.7945709189966913,0.1823709299963509,0.023058151006958898
9.700000000000001,0.7840604289033296,0.19154615997034477,0.02439341112632673
9.75,0.7731749428862237,0.20102974334510573,0.025795313768671637
9.8,0.761917427228441,0.21081652867091416,0.027266044100645863
9.850000000000001,0.7502926054452875,0.22089965013933346,0.02880774441538007
9.9,0.7383070395904165,0.23127045877801544,0.030422501631569076
9.950000000000001,0.7259691967199571,0.24191846892480873,0.032112334355235285
10,0.7132894982642912,0.2528313221153118,0.03387917962039814
10.05,0.7002803499760336,0.2639947705835079,0.03572487944045972
10.100000000000001,0.6869561504995995,0.27539268218287316,0.03765116731752869
10.15,0.6733332768181179,0.28700706831421147,0.03965965486767195
10.200000000000001,0.6594300452261659,0.29881813604198276,0.04175181873185266
10.25,0.6452666469392182,0.3108043651131347,0.043928987947648476
10.3,0.6308650579600513,0.3229426100790874,0.04619233196086268
10.350000000000001,0.616248923388295,0.3352082271563771,0.048542849455329294
10.4,0.6014434169568438,0.34757522486859105,0.050981358174566525
10.450000000000001,0.5864750771899818,0.3600164369100804,0.053508485899939034
10.5,0.5713716221805486,0.37250371508272895,0.05612466273672376
10.55,0.5561617455542736,0.38500813960359975,0.05883011484212794
10.600000000000001,0.5408748967058344,0.39750024358597635,0.06162485970819042
10.65,0.5255410488316647,0.4099502480802131,0.06450870308812345
10.700000000000001,0.5101904586303813,0.4223283037419837,0.06748123762763626
10.75,0.4948534217777979,0.4346047349883211,0.07054184323388228
10.8,0.47956002839949513,0.4467502824157812,0.07368968918472499
10.850000000000001,0.46433992275487246,0.4587363392942359,0.07692373795089291
10.9,0.44922207121303553,0.4705351781127598,0.08024275067420594
10.950000000000001,0.4342345423490984,0.48212016343365954,0.08364529421724336
11,0.41940430263085166,0.49346594769475494,0.08712974967439474
11.05,0.40475703071615504,0.5045486470719677,0.09069432221187865
11.100000000000001,0.3903169528602881,0.5153459950541411,0.09433705208557218
11.15,0.376106701361438,0.5258374719677623,0.09805582667080115
11.200000000000001,0.3621471973743964,0.5360044092977908,0.10184839332781429
11.25,0.3484575588199305,0.5458300682594676,0.10571237292060331
11.3,0.3350550335314947,0.5552996926635475,0.10964527380495917
11.350000000000001,0.32195495723103706,0.56440053666503,0.11364450610393437
11.4,0.3091707354206981,0.5731218684843243,0.11770739609497892
11.450000000000001,0.2967138478751853,0.5814549515836888,0.12183120054112728
11.5,0.2845938740011453,0.5893930051837626,0.12601312081509347
11.55,0.2728185370985513,0.5969311462282154,0.13025031667323467
11.600000000000001,0.261393765317337,0.6040663151301305,0.1345399195525338
11.65,0.250323767013688,0.6107971876971873,0.13887904528912587
11.700000000000001,0.2396111181214059,0.6171240757131877,0.14326480616540765
11.75,0.22925685920831648,0.6230488185773119,0.14769432221437287
11.8,0.2192605997594643,0.6285746685188289,0.15216473172170816
11.850000000000001,0.20962062780414722,0.633706171299489,0.15667320089636513
11.9,0.20033402257312763,0.6384490447509129,0.1612169326759608
11.950000000000001,0.19139676849552634,0.6428100568401208,0.1657931746643541
12,0.18280386876457552,0.6467969050358162,0.17039922619960962
12.05,0.17454945711629505,0.6504180983134715,0.1750324445702347
12.100000000000001,0.1666269065530452,0.6536828430452805,0.1796902504016756
12.15,0.1590289339832793,0.6566009337722732,0.1843701322444487
12.200000000000001,0.15174769996716647,0.6591826496305786,0.1890696504022563
12.25,0.1447749029092646,0.6614386570490195,0.19378644004171722
12.3,0.13810186726266685,0.6633799191060993,0.1985182136312351
12.350000000000001,0.13171962542194204,0.6650176118213815,0.2032627627566778
12.4,0.12561899315034641,0.666363047485219,0.20801795936443593
12.450000000000001,0.11979063849340181,0.6674276050246238,0.21278175648197564
12.5,0.11422514423598676,0.6682226672982446,0.21755218846576993
12.55,0.10891306404827947,0.668759565126162,0.22232737082555984
12.600000000000001,0.10384497253285262,0.6690495277950597,0.22710549967208893
12.65,0.0990115094409184,0.6691036397255468,0.23188485083353608
12.700000000000001,0.09440341836399162,0.6689328029526331,0.23666377868337635
12.75,0.09001158023765989,0.6685477050424354,0.24144071471990583
12.8,0.08582704201387835,0.6679587920512964,0.24621416593482645
12.850000000000001,0.08184104086448296,0.6671762461300171,0.250982713005501
12.9,0.07804502428194371,0.6662099673754054,0.25574500834265185
12.950000000000001,0.0744306664397792,0.6650695595377976,0.26049977402242425
13,0.07098988116515009,0.663764319205887,0.2652457996289639
13.05,0.0677148318652999,0.6623032281033951,0.26998194003130593
13.100000000000001,0.06459793872494132,0.660694948160181,0.27470711311487855
13.15,0.06163188348642297,0.6589478190267275,0.27942029748685043
13.200000000000001,0.05880961210387555,0.6570698577241263,0.28412053017199895
13.25,0.05612433552588934,0.6550687601616548,0.28880690431245654
13.3,0.05356952885897507,0.6529519042567856,0.29347856688424007
13.350000000000001,0.05113892913709967,0.6507263544217895,0.2981347164411115
13.4,0.04882653190250168,0.6483988672027765,0.3027746008947225
13.450000000000001,0.04662658678430342,0.645975897877123,0.3073975153385745
13.5,0.044533592243033826,0.6434636078349678,0.3120027999219992
13.55,0.04254228963185598,0.6408678725889455,0.31658983777919947
13.600000000000001,0.040647656708995394,0.638194290273678,0.32115805301732747
13.65,0.038844900720685985,0.6354481905126577,0.32570690876665714
13.700000000000001,0.037129451159914055,0.6326346435450063,0.33023590529508035
13.75,0.03549695229332703,0.6297584695182346,0.33474457818843917
13.8,0.03394325553686449,0.6268242478655508,0.3392324965975855
13.850000000000001,0.03246441174993092,0.6238363266975593,0.3436992615525105
13.9,0.031056663508203783,0.6207988321483662,0.34814450434343075
13.950000000000001,0.029716437406413863,0.6177156776252706,0.3525678849683163
14,0.0284403364345788,0.6145905729194068,0.3569690906460152
14.05,0.027225132464908104,0.6114270331411665,0.36134783439392626
14.100000000000001,0.02606775887735979,0.6082283874534407,0.36570385366920044
14.15,0.024965303349344947,0.6049977875811963,0.3700369090694596
14.200000000000001,0.023915000833179257,0.6017382160707502,0.3743467830960714
14.25,0.02291422673266175,0.5984524942925964,0.37863327897474275
14.3,0.021960490290929554,0.5951432901773622,0.3828962195317091
14.350000000000001,0.02105142819955982,0.5918131256759306,0.38713544612451045
14.4,0.020184798434278048,0.5884643839406509,0.3913508176250719
14.450000000000001,0.01935847432068408,0.5850993162262371,0.3955422094530797
14.5,0.01857043883136036,0.5817200485109916,0.39970951265764904
14.55,0.01781877911398234,0.5783285878407214,0.40385263304529717
14.600000000000001,0.017101681248589753,0.5749268283991618,0.4079714903522495
14.65,0.016417425230953735,0.5715165573099015,0.41206601745914584
14.700000000000001,0.015764380177969287,0.5680994601757832,0.4161361596462486
14.75,0.015140999750184202,0.5646771263625172,0.42018187388729955
14.8,0.01454581778592062,0.5612510540338523,0.424203128180228
14.850000000000001,0.013977444140935444,0.5578226549461073,0.42819990091295834
14.9,0.01343456072717739,0.5543932590101921,0.43217218026263166
14.950000000000001,0.012915917743918379,0.5509641186294748,0.43611996362660793
15,0.012420330094348002,0.5475364128219762,0.44004325708367703
15.05,0.011946673980608058,0.5441112511354218,0.4439420748839714
15.100000000000001,0.01149388367020068,0.5406896773636727,0.44781643896612794
15.15,0.011060948426713629,0.5372726730729745,0.4516663785003131
15.200000000000001,0.010646909597864932,0.5338611609463544,0.45549192945578193
15.25,0.01025085785396545,0.5304560079543365,0.45929313419169926
15.3,0.00987193057002556,0.5270580283599603,0.46307004107001526
15.350000000000001,0.009509309344886675,0.5236679865658794,0.4668227040892351
15.4,0.009162217650931328,0.5202865998110849,0.470551182537985
15.450000000000001,0.008829918608115701,0.5169145407245592,0.47425554066732634
15.5,0.008511712876269702,0.5135524397429129,0.4779358473808187
15.55,0.008206936659818925,0.5102008873987934,0.481592175941389
15.600000000000001,0.007914959819298706,0.5068604364866002,0.4852246036941023
15.65,0.007635184084247999,0.5035316041117684,0.4888332118039848
15.700000000000001,0.007367041362290456,0.5002148736296247,0.49241808500808604
15.75,0.007109992139428587,0.4969106964795597,0.4959793113810129
15.8,0.006863523966792862,0.4936194939199997,0.4995169821132087
15.850000000000001,0.006627150029301226,0.49034165866941504,0.5030311913012849
15.9,0.006400407791892747,0.48707755645835293,0.5065220357497555
15.950000000000001,0.006182857719203165,0.48382752749724456,0.5099896147835535
16,0.005974082064748249,0.4805918878645093,0.5134340300707436
16.05,0.00577368372587259,0.4773709308192484,0.5168553854548802
16.1,0.005581285160907497,0.47416492804261073,0.5202537867964829
16.150000000000002,0.005396527365160206,0.4709741308117033,0.5236293418231377
16.2,0.005219068902529105,0.4677987711097205,0.5269821599877516
16.25,0.005048584989704668,0.4646390626757744,0.5303123523345221
16.3,0.004884766630074588,0.46149520199772937,0.5336200313721973
16.35,0.0047273197946026526,0.45836736925116367,0.536905310954235
16.400000000000002,0.004575964647096239,0.45525572918741936,0.5401683061654857
16.45,0.004430434811415178,0.4521604319735415,0.5434091332150447
16.5,0.004290476678306521,0.44908161398675417,0.5466279093349407
16.55,0.0041558487496752726,0.4460193985659831,0.5498247526843429
16.6,0.004026321018220098,0.44297389672278886,0.5529997822589925
16.650000000000002,0.0039016743804766805,0.43994520781395374,0.556153117805571
16.7,0.003781700081418782,0.4369334201778376,0.559284879740745
16.75,0.00366619918886919,0.4339386117364999,0.5623951890746323
16.8,0.003554982096069665,0.43096085056548145,0.5654841673384503
16.85,0.0034478680508504434,0.42800019543302376,0.5685519365161271
16.900000000000002,0.003344684709926984,0.4250566963104157,0.5715986189796586
16.95,0.003245267716933713,0.42213039485505505,0.5746243374280124
17,0.0031494603028822893,0.4192213248677276,0.5776292148293913
17.05,0.003057112907805623,0.41632951272552404,0.5806133743666715
17.1,0.0029680828224181665,0.413454977791729,0.583576939385854
17.150000000000002,0.0028822338486889526,0.4105977328039488,0.5865200333473632
17.2,0.002799435978285796,0.4077577842416704,0.5894427797800448
17.25,0.0027195650879077017,0.4049351326743751,0.5923453022377182
17.3,0.002642502650578017,0.4021297730912736,0.5952277242581494
17.35,0.0025681354620228822,0.3993416952136612,0.598090169324317
17.400000000000002,0.0024963553813090967,0.3965708837908419,0.6009327608278502
17.45,0.002427059084961903,0.39381731888051574,0.6037556220345235
17.5,0.0023601478338271245,0.3910809761144708,0.6065588760517031
17.55,0.002295527251983599,0.3883618269503784,0.6093426457976391
17.6,0.002233107117050745,0.3856598389104408,0.6121070539725095
17.650000000000002,0.0021728011612731175,0.3829749758076027,0.6148522230311252
17.7,0.002114526882798436,0.380307197959996,0.6175782751572065
17.75,0.0020582053665983723,0.377656462394249,0.6202853322391536
17.8,0.002003761114512307,0.3750227230382607,0.622973515847228
17.85,0.0019511218839232964,0.3724059309039991,0.6256429472120786
17.900000000000002,0.0019002185346030575,0.36980603426086106,0.6282937472045369
17.95,0.0018509848832886006,0.3672229788000929,0.6309260363166194
18,0.0018033575655775533,0.36465670779074855,0.6335399346436749
18.05,0.0017572759047522913,0.362107162227635,0.6361355618676136
18.1,0.0017126817871645724,0.3595742809716667,0.6387130372411697
18.150000000000002,0.0016695195438329372,0.35705800088303014,0.6412724795731378
18.2,0.0016277358379243607,0.3545582569475391,0.6438140072145374
18.25,0.0015872795578098212,0.3520749823965348,0.6463377380456563
18.3,0.0015481017154006552,0.3496081088206727,0.6488437894639276
18.35,0.0015101553494886323,0.3471575662779123,0.6513322783726001
18.400000000000002,0.0014733954338280251,0.34472328339601394,0.653803321170159
18.45,0.001437778789712268,0.34230518746982785,0.6562570337404608
18.5,0.0014032640028113653,0.33990320455364426,0.6586935314435454
18.55,0.0013698113440490317,0.3375172595488628,0.6611129291070891
18.6,0.0013373826943105368,0.33514727628721913,0.6635153410184713
18.650000000000002,0.0013059414727836793,0.3327931776098005,0.6659008809174168
